CRV15_RS10290	K02946
CRV15_RS11675	K11939
CRV15_RS12055	K17686
CRV15_RS12070	K18553
CRV15_RS12090	K07106
CRV15_RS12095	K02810
CRV15_RS12145	K15034
CRV15_RS12170	K01624
CRV15_RS12180	K01443
CRV15_RS12185	K25026
CRV15_RS12195	K02027
CRV15_RS12205	K01087
CRV15_RS12210	K00697
CRV15_RS12220	K13693
CRV15_RS12230	K03636
CRV15_RS12235	K03704
CRV15_RS12245	K04077
CRV15_RS12310	K10112
CRV15_RS12330	K03218
CRV15_RS12335	K01883
CRV15_RS12345	K01770
CRV15_RS12355	K07736
CRV15_RS12380	K02039
CRV15_RS12385	K01834
CRV15_RS12475	K07560
CRV15_RS12480	K06980
CRV15_RS12485	K03711
CRV15_RS12515	K01011
CRV15_RS12535	K03636
CRV15_RS12565	K07669
CRV15_RS12570	K07653
CRV15_RS12585	K01771
CRV15_RS12630	K02040
CRV15_RS12635	K02037
CRV15_RS12640	K02038
CRV15_RS12650	K03306
CRV15_RS12655	K07220
CRV15_RS12660	K21600
CRV15_RS12680	K19302
CRV15_RS16445	K05845
CRV15_RS16440	K05846
CRV15_RS16435	K05846
CRV15_RS16430	K05847
CRV15_RS16425	K00796
CRV15_RS16410	K00950
CRV15_RS16400	K01495
CRV15_RS16385	K04075
CRV15_RS16370	K01507
CRV15_RS16360	K03975
CRV15_RS16355	K01580
CRV15_RS16335	K00128
CRV15_RS16290	K00661
CRV15_RS16275	K20926
CRV15_RS16165	K00573
CRV15_RS16150	K20484
CRV15_RS16115	K02315
CRV15_RS16110	K18955
CRV15_RS15925	K00571
CRV15_RS15835	K02341
CRV15_RS15800	K15987
CRV15_RS15790	K04749
CRV15_RS17320	K03088
CRV15_RS17310	K02004
CRV15_RS17250	K04042
CRV15_RS17245	K00948
CRV15_RS17235	K01056
CRV15_RS17225	K01595
CRV15_RS17220	K00507
CRV15_RS17165	K15738
CRV15_RS17120	K03424
CRV15_RS17100	K00728
CRV15_RS16985	K02006
CRV15_RS16980	K02008
CRV15_RS16965	K06994
CRV15_RS16955	K08676
CRV15_RS16930	K01142
CRV15_RS16875	K00963
CRV15_RS16865	K01434
CRV15_RS16860	K11105
CRV15_RS16845	K00772
CRV15_RS16790	K15777
CRV15_RS16765	K25775
CRV15_RS16760	K13542
CRV15_RS16755	K01749
CRV15_RS08505	K01439
CRV15_RS08485	K01246
CRV15_RS08480	K15866
CRV15_RS08450	K03117
CRV15_RS08440	K03593
CRV15_RS08415	K03284
CRV15_RS08395	K07053
CRV15_RS08390	K05595
CRV15_RS08315	K02034
CRV15_RS08310	K02033
CRV15_RS08300	K21214
CRV15_RS08290	K21147
CRV15_RS08250	K03426
CRV15_RS08245	K18917
CRV15_RS08230	K18958
CRV15_RS08185	K03635
CRV15_RS08175	K07177
CRV15_RS08145	K22297
CRV15_RS08140	K03781
CRV15_RS08130	K05602
CRV15_RS08120	K11741
CRV15_RS08115	K06949
CRV15_RS08110	K00800
CRV15_RS08095	K07020
CRV15_RS08090	K03088
CRV15_RS08065	K01462
CRV15_RS08060	K00526
CRV15_RS08055	K00525
CRV15_RS08040	K24969
CRV15_RS08030	K17330
CRV15_RS08020	K01207
CRV15_RS08015	K00820
CRV15_RS08005	K18955
CRV15_RS07985	K04757
CRV15_RS07975	K24163
CRV15_RS07945	K01416
CRV15_RS07930	K00518
CRV15_RS07910	K02028
CRV15_RS07905	K02029
CRV15_RS19995	K01006
CRV15_RS20025	K02493
CRV15_RS20030	K07090
CRV15_RS20090	K18888
CRV15_RS20100	K00854
CRV15_RS20135	K01990
CRV15_RS20180	K02020
CRV15_RS20190	K06996
CRV15_RS20195	K18661
CRV15_RS20205	K09810
CRV15_RS20270	K06203
CRV15_RS20295	K09458
CRV15_RS20300	K02078
CRV15_RS20305	K00648
CRV15_RS20380	K24120
CRV15_RS20385	K05795
CRV15_RS20395	K09799
CRV15_RS20540	K02069
CRV15_RS20545	K23541
CRV15_RS20550	K19270
CRV15_RS30280	K01259
CRV15_RS30465	K22929
CRV15_RS30530	K07124
CRV15_RS30535	K07124
CRV15_RS30555	K14660
CRV15_RS30725	K04567
CRV15_RS03645	K01586
CRV15_RS03630	K01895
CRV15_RS03625	K00666
CRV15_RS03595	K00365
CRV15_RS03585	K24206
CRV15_RS03575	K01673
CRV15_RS03555	K01638
CRV15_RS03530	K13641
CRV15_RS03525	K01466
CRV15_RS03520	K01477
CRV15_RS03475	K02057
CRV15_RS03470	K02056
CRV15_RS03465	K25026
CRV15_RS03445	K01142
CRV15_RS03435	K10008
CRV15_RS03430	K10005
CRV15_RS03425	K10006
CRV15_RS03420	K10007
CRV15_RS03400	K01265
CRV15_RS03390	K07006
CRV15_RS03385	K01431
CRV15_RS03375	K01464
CRV15_RS03345	K23518
CRV15_RS03340	K13529
CRV15_RS03335	K00567
CRV15_RS03330	K12410
CRV15_RS03305	K01613
CRV15_RS03290	K01644
CRV15_RS03285	K14447
CRV15_RS03280	K17829
CRV15_RS29445	K03469
CRV15_RS29510	K01579
CRV15_RS29515	K00611
CRV15_RS29535	K21949
CRV15_RS29555	K21780
CRV15_RS29565	K21782
CRV15_RS29580	K21949
CRV15_RS29615	K06147
CRV15_RS29700	K21978
CRV15_RS29710	K00231
CRV15_RS18060	K09812
CRV15_RS18065	K09811
CRV15_RS18070	K03797
CRV15_RS18075	K03664
CRV15_RS18105	K03088
CRV15_RS18125	K03530
CRV15_RS18130	K00790
CRV15_RS18145	K17329
CRV15_RS18155	K17331
CRV15_RS18225	K00457
CRV15_RS18285	K09607
CRV15_RS18295	K08281
CRV15_RS18300	K00763
CRV15_RS18305	K06891
CRV15_RS18340	K03636
CRV15_RS18345	K21148
CRV15_RS18370	K02803
CRV15_RS18375	K00989
CRV15_RS18405	K03564
CRV15_RS18415	K04078
CRV15_RS18435	K25155
CRV15_RS18485	K03217
CRV15_RS09120	K14260
CRV15_RS09130	K01596
CRV15_RS09135	K11068
CRV15_RS09175	K18455
CRV15_RS09185	K03624
CRV15_RS09205	K01992
CRV15_RS09210	K01990
CRV15_RS09215	K01754
CRV15_RS09255	K07304
CRV15_RS09270	K13979
CRV15_RS09310	K27094
CRV15_RS09315	K27095
CRV15_RS09320	K06287
CRV15_RS09325	K11263
CRV15_RS09350	K03783
CRV15_RS09355	K01840
CRV15_RS09380	K01619
CRV15_RS09415	K07654
CRV15_RS09440	K01488
CRV15_RS09485	K00758
CRV15_RS09490	K01489
CRV15_RS09495	K23536
CRV15_RS09500	K23535
CRV15_RS09505	K23537
CRV15_RS09510	K07335
CRV15_RS12795	K24131
CRV15_RS12815	K21744
CRV15_RS12875	K06199
CRV15_RS12880	K06199
CRV15_RS12955	K00271
CRV15_RS12965	K01933
CRV15_RS13000	K23265
CRV15_RS13030	K01992
CRV15_RS13065	K01945
CRV15_RS13095	K01876
CRV15_RS13100	K03574
CRV15_RS13110	K00940
CRV15_RS14990	K01697
CRV15_RS15045	K06994
CRV15_RS15070	K01784
CRV15_RS15075	K13015
CRV15_RS15080	K01874
CRV15_RS15135	K01494
CRV15_RS15140	K07101
CRV15_RS15160	K04043
CRV15_RS15175	K13640
CRV15_RS15195	K03695
CRV15_RS15225	K00797
CRV15_RS15235	K01785
CRV15_RS15240	K00762
CRV15_RS15245	K01624
CRV15_RS30875	K12250
CRV15_RS30925	K00481
CRV15_RS30935	K21460
CRV15_RS30980	K10947
CRV15_RS31000	K03306
CRV15_RS31035	K03892
CRV15_RS31095	K16842
CRV15_RS31160	K21514
CRV15_RS31185	K01992
CRV15_RS08850	K19265
CRV15_RS08840	K07175
CRV15_RS08825	K04756
CRV15_RS08820	K24126
CRV15_RS08815	K04761
CRV15_RS08805	K02003
CRV15_RS08785	K05366
CRV15_RS08780	K03781
CRV15_RS08765	K01679
CRV15_RS08745	K18955
CRV15_RS08740	K02446
CRV15_RS08730	K09019
CRV15_RS08725	K03602
CRV15_RS08720	K03601
CRV15_RS08695	K06942
CRV15_RS08665	K03574
CRV15_RS08650	K00240
CRV15_RS08625	K06207
CRV15_RS08615	K02034
CRV15_RS08610	K02035
CRV15_RS08605	K02033
CRV15_RS08600	K02031
CRV15_RS08595	K02032
CRV15_RS08580	K15581
CRV15_RS08575	K15582
CRV15_RS08565	K10823
CRV15_RS26210	K25284
CRV15_RS26205	K02015
CRV15_RS26200	K25285
CRV15_RS26180	K23188
CRV15_RS26170	K02015
CRV15_RS26075	K07499
CRV15_RS26060	K10680
CRV15_RS25960	K06147
CRV15_RS13580	K10716
CRV15_RS13560	K02004
CRV15_RS13540	K12132
CRV15_RS13535	K12132
CRV15_RS13520	K07695
CRV15_RS13515	K00166
CRV15_RS13510	K00167
CRV15_RS13435	K01876
CRV15_RS13410	K01874
CRV15_RS13390	K07093
CRV15_RS13315	K11991
CRV15_RS13300	K00761
CRV15_RS28965	K06218
CRV15_RS29190	K27108
CRV15_RS29315	K18955
CRV15_RS04635	K07646
CRV15_RS04630	K02003
CRV15_RS04580	K01772
CRV15_RS04570	K05888
CRV15_RS04560	K13745
CRV15_RS04545	K00151
CRV15_RS04535	K05921
CRV15_RS04530	K07010
CRV15_RS04490	K00547
CRV15_RS04450	K09461
CRV15_RS04440	K08295
CRV15_RS04435	K00249
CRV15_RS04425	K01286
CRV15_RS04410	K00790
CRV15_RS04390	K03719
CRV15_RS04385	K01681
CRV15_RS04370	K10200
CRV15_RS04365	K10201
CRV15_RS04340	K10545
CRV15_RS04335	K10544
CRV15_RS21535	K02483
CRV15_RS21525	K00865
CRV15_RS21515	K00766
CRV15_RS21510	K03891
CRV15_RS21505	K03890
CRV15_RS21500	K03889
CRV15_RS21495	K02276
CRV15_RS21480	K27109
CRV15_RS21475	K02274
CRV15_RS21470	K02275
CRV15_RS21465	K04487
CRV15_RS21440	K03517
CRV15_RS21430	K03296
CRV15_RS21360	K00768
CRV15_RS21280	K03801
CRV15_RS21275	K03644
CRV15_RS21255	K01915
CRV15_RS21215	K01749
CRV15_RS21210	K22479
CRV15_RS21195	K00537
CRV15_RS18940	K01647
CRV15_RS18955	K03335
CRV15_RS18970	K03337
CRV15_RS19000	K01992
CRV15_RS19015	K13953
CRV15_RS19045	K01990
CRV15_RS19050	K01992
CRV15_RS19055	K00940
CRV15_RS19065	K00020
CRV15_RS19085	K01923
CRV15_RS19130	K22305
CRV15_RS19135	K09705
CRV15_RS19140	K00059
CRV15_RS19150	K00759
CRV15_RS19165	K15342
CRV15_RS19170	K07464
CRV15_RS19185	K19075
CRV15_RS19215	K03111
CRV15_RS19230	K07107
CRV15_RS19255	K06886
CRV15_RS37685	K06147
CRV15_RS06645	K00573
CRV15_RS06635	K20483
CRV15_RS06585	K01752
CRV15_RS06580	K00600
CRV15_RS06575	K02437
CRV15_RS06570	K00605
CRV15_RS06550	K02034
CRV15_RS06545	K02035
CRV15_RS06535	K02031
CRV15_RS06530	K02032
CRV15_RS06470	K01972
CRV15_RS06460	K02435
CRV15_RS06455	K02433
CRV15_RS06445	K02434
CRV15_RS02220	K00255
CRV15_RS02195	K06886
CRV15_RS02045	K19548
CRV15_RS02040	K00613
CRV15_RS02015	K22303
CRV15_RS01985	K22770
CRV15_RS01960	K02470
CRV15_RS28395	K14956
CRV15_RS28365	K06218
CRV15_RS28275	K06994
CRV15_RS28245	K11717
CRV15_RS28225	K07110
CRV15_RS28220	K01720
CRV15_RS28210	K01647
CRV15_RS28175	K00467
CRV15_RS28695	K01286
CRV15_RS28685	K01673
CRV15_RS28675	K03704
CRV15_RS28530	K01561
CRV15_RS28465	K21979
CRV15_RS05125	K03722
CRV15_RS05115	K07738
CRV15_RS05085	K03470
CRV15_RS05045	K03086
CRV15_RS05030	K02470
CRV15_RS05010	K01647
CRV15_RS04975	K02784
CRV15_RS04915	K01738
CRV15_RS04910	K02015
CRV15_RS04900	K02016
CRV15_RS10780	K07399
CRV15_RS10760	K03179
CRV15_RS10755	K03186
CRV15_RS10745	K18285
CRV15_RS10725	K03704
CRV15_RS10715	K11782
CRV15_RS10710	K11784
CRV15_RS10700	K03183
CRV15_RS10690	K21401
CRV15_RS10675	K00330
CRV15_RS10670	K00331
CRV15_RS10665	K00332
CRV15_RS10655	K00334
CRV15_RS10645	K00336
CRV15_RS10640	K00337
CRV15_RS10625	K00340
CRV15_RS10620	K00341
CRV15_RS10610	K00343
CRV15_RS10535	K05786
CRV15_RS14345	K01126
CRV15_RS14350	K08372
CRV15_RS14390	K14162
CRV15_RS14405	K25622
CRV15_RS14410	K25623
CRV15_RS14500	K20074
CRV15_RS01335	K06911
CRV15_RS01320	K00648
CRV15_RS01215	K12132
CRV15_RS01140	K01990
CRV15_RS01135	K01992
CRV15_RS01075	K00134
CRV15_RS24420	K02342
CRV15_RS24425	K01868
CRV15_RS24435	K19710
CRV15_RS24450	K02355
CRV15_RS24460	K22311
CRV15_RS24465	K08256
CRV15_RS24475	K06215
CRV15_RS24480	K08681
CRV15_RS24500	K03551
CRV15_RS24505	K03210
CRV15_RS24515	K03074
CRV15_RS24520	K00759
CRV15_RS24525	K01139
CRV15_RS24540	K03768
CRV15_RS24545	K01069
CRV15_RS24570	K02986
CRV15_RS24615	K01735
CRV15_RS24620	K03786
CRV15_RS24635	K02356
CRV15_RS24640	K03625
CRV15_RS24650	K02825
CRV15_RS24655	K00609
CRV15_RS24670	K01956
CRV15_RS24675	K01955
CRV15_RS24680	K00254
CRV15_RS24685	K01591
CRV15_RS24700	K03060
CRV15_RS24710	K00789
CRV15_RS10095	K00997
CRV15_RS10110	K03431
CRV15_RS10115	K02996
CRV15_RS10120	K02871
CRV15_RS10140	K02879
CRV15_RS10145	K03040
CRV15_RS10150	K02948
CRV15_RS10155	K02952
CRV15_RS10160	K02919
CRV15_RS10165	K02518
CRV15_RS10170	K01265
CRV15_RS10175	K00939
CRV15_RS10180	K03076
CRV15_RS10185	K02876
CRV15_RS10190	K02907
CRV15_RS10195	K02988
CRV15_RS10200	K02881
CRV15_RS10205	K02933
CRV15_RS10210	K02994
CRV15_RS10220	K02954
CRV15_RS10225	K02931
CRV15_RS10230	K02895
CRV15_RS10235	K02874
CRV15_RS10240	K02961
CRV15_RS10245	K02904
CRV15_RS10250	K02878
CRV15_RS10255	K02982
CRV15_RS10265	K02965
CRV15_RS10270	K02886
CRV15_RS10285	K02906
CRV15_RS10300	K02358
CRV15_RS10305	K02355
CRV15_RS10310	K02992
CRV15_RS10320	K03046
CRV15_RS10340	K02864
CRV15_RS10345	K02863
CRV15_RS10350	K02867
CRV15_RS10360	K03073
CRV15_RS10370	K00812
CRV15_RS10375	K01488
CRV15_RS10395	K02913
CRV15_RS10435	K09767
CRV15_RS13960	K02914
CRV15_RS13965	K03536
CRV15_RS13970	K08998
CRV15_RS13980	K06346
CRV15_RS13985	K03501
CRV15_RS13990	K03496
CRV15_RS14005	K03671
CRV15_RS14010	K00384
CRV15_RS14020	K03088
CRV15_RS14030	K03980
CRV15_RS14040	K00970
CRV15_RS14050	K01858
CRV15_RS14090	K02990
CRV15_RS14095	K03111
CRV15_RS14100	K02963
CRV15_RS14105	K02939
CRV15_RS14110	K26937
CRV15_RS14150	K01758
CRV15_RS14155	K08972
CRV15_RS14180	K03147
CRV15_RS14205	K00425
CRV15_RS14210	K00426
CRV15_RS21115	K15770
CRV15_RS21110	K15771
CRV15_RS21105	K15772
CRV15_RS21050	K01724
CRV15_RS21020	K00982
CRV15_RS21005	K01915
CRV15_RS20960	K18353
CRV15_RS20955	K00606
CRV15_RS20945	K18233
CRV15_RS20930	K06988
CRV15_RS20910	K01265
CRV15_RS22290	K27501
CRV15_RS22295	K09807
CRV15_RS22300	K00873
CRV15_RS22310	K22010
CRV15_RS22315	K01996
CRV15_RS22330	K01997
CRV15_RS22335	K01999
CRV15_RS22380	K02945
CRV15_RS22390	K00859
CRV15_RS22445	K16329
CRV15_RS22475	K05791
CRV15_RS22495	K16163
CRV15_RS21800	K03924
CRV15_RS21805	K01673
CRV15_RS21810	K03438
CRV15_RS21830	K01929
CRV15_RS21835	K01000
CRV15_RS21840	K01925
CRV15_RS21850	K02563
CRV15_RS21855	K03589
CRV15_RS21865	K03531
CRV15_RS21875	K06997
CRV15_RS21880	K09772
CRV15_RS21885	K02221
CRV15_RS21895	K01870
CRV15_RS21910	K03101
CRV15_RS21915	K06180
CRV15_RS21920	K24163
CRV15_RS21940	K01113
CRV15_RS21960	K02337
CRV15_RS21990	K07157
CRV15_RS22005	K00013
CRV15_RS22015	K01693
CRV15_RS22025	K24017
CRV15_RS17620	K03305
CRV15_RS17645	K01588
CRV15_RS17650	K01273
CRV15_RS17665	K00012
CRV15_RS17830	K11212
CRV15_RS17845	K18955
CRV15_RS17875	K01840
CRV15_RS15735	K07321
CRV15_RS15720	K01895
CRV15_RS15680	K10914
CRV15_RS15640	K18955
CRV15_RS15625	K09117
CRV15_RS15620	K07098
CRV15_RS15525	K02230
CRV15_RS14815	K19126
CRV15_RS14845	K02004
CRV15_RS05200	K06168
CRV15_RS05205	K07080
CRV15_RS05230	K10006
CRV15_RS05240	K05712
CRV15_RS05255	K03565
CRV15_RS05280	K26606
CRV15_RS05305	K00059
CRV15_RS05315	K04047
CRV15_RS05325	K03743
CRV15_RS05335	K14441
CRV15_RS05345	K03466
CRV15_RS01580	K06978
CRV15_RS01585	K25706
CRV15_RS01595	K09018
CRV15_RS01615	K10829
CRV15_RS01660	K01426
CRV15_RS01675	K15736
CRV15_RS01715	K07654
CRV15_RS22560	K00134
CRV15_RS22565	K00927
CRV15_RS22570	K01803
CRV15_RS22595	K08981
CRV15_RS22610	K00036
CRV15_RS22615	K00616
CRV15_RS22620	K00615
CRV15_RS22635	K07045
CRV15_RS22640	K02259
CRV15_RS22650	K01992
CRV15_RS22655	K01990
CRV15_RS22665	K09014
CRV15_RS22670	K09015
CRV15_RS22685	K11717
CRV15_RS22690	K04488
CRV15_RS22700	K00674
CRV15_RS22765	K18352
CRV15_RS22775	K07093
CRV15_RS33975	K00505
CRV15_RS34065	K21161
CRV15_RS34070	K21162
CRV15_RS34075	K21163
CRV15_RS34085	K15315
CRV15_RS10000	K04078
CRV15_RS09995	K04077
CRV15_RS09985	K07124
CRV15_RS09960	K03088
CRV15_RS09955	K00088
CRV15_RS09945	K13015
CRV15_RS09940	K00111
CRV15_RS09920	K00135
CRV15_RS09900	K01951
CRV15_RS09895	K16937
CRV15_RS09860	K03657
CRV15_RS09845	K25821
CRV15_RS17890	K01809
CRV15_RS25110	K08744
CRV15_RS25115	K16881
CRV15_RS25165	K00281
CRV15_RS25275	K00059
CRV15_RS25290	K02035
CRV15_RS25295	K03648
CRV15_RS05780	K02967
CRV15_RS05775	K02357
CRV15_RS05770	K09903
CRV15_RS05765	K02838
CRV15_RS05760	K00981
CRV15_RS05755	K06941
CRV15_RS05750	K02064
CRV15_RS05745	K02063
CRV15_RS05740	K02062
CRV15_RS05715	K03718
CRV15_RS05710	K00130
CRV15_RS05700	K01126
CRV15_RS05680	K00130
CRV15_RS05665	K11071
CRV15_RS05660	K11070
CRV15_RS05600	K03526
CRV15_RS05595	K06976
CRV15_RS05585	K01881
CRV15_RS20830	K01113
CRV15_RS20815	K18544
CRV15_RS20795	K19200
CRV15_RS20780	K10229
CRV15_RS20770	K10227
CRV15_RS20760	K03088
CRV15_RS20730	K09861
CRV15_RS20680	K07693
CRV15_RS20670	K00632
CRV15_RS20665	K24288
CRV15_RS20645	K27194
CRV15_RS20630	K22107
CRV15_RS20625	K05337
CRV15_RS00225	K00138
CRV15_RS00240	K13787
CRV15_RS00260	K15907
CRV15_RS00270	K01758
CRV15_RS00275	K12960
CRV15_RS00295	K01845
CRV15_RS00335	K00978
CRV15_RS00365	K01953
CRV15_RS00385	K00066
CRV15_RS04750	K13787
CRV15_RS04725	K20081
CRV15_RS04720	K12944
CRV15_RS04710	K12630
CRV15_RS04700	K05602
CRV15_RS04675	K03499
CRV15_RS30060	K01953
CRV15_RS37535	K06147
CRV15_RS17380	K21687
CRV15_RS17400	K09009
CRV15_RS17405	K01524
CRV15_RS17415	K00574
CRV15_RS17425	K02004
CRV15_RS17430	K02003
CRV15_RS17460	K00626
CRV15_RS17540	K01712
CRV15_RS17545	K06016
CRV15_RS13760	K12132
CRV15_RS13755	K05364
CRV15_RS13745	K20074
CRV15_RS13725	K02004
CRV15_RS13720	K02003
CRV15_RS13670	K22819
CRV15_RS13665	K02613
CRV15_RS13655	K02611
CRV15_RS13650	K02610
CRV15_RS13605	K00166
CRV15_RS23540	K07795
CRV15_RS23545	K07794
CRV15_RS23550	K07793
CRV15_RS23600	K03300
CRV15_RS23615	K13639
CRV15_RS23650	K00249
CRV15_RS23665	K00389
CRV15_RS23675	K07077
CRV15_RS23680	K03299
CRV15_RS23685	K00851
CRV15_RS23695	K11738
CRV15_RS23705	K00153
CRV15_RS23715	K06177
CRV15_RS19640	K21681
CRV15_RS19630	K03979
CRV15_RS19625	K02899
CRV15_RS19620	K02888
CRV15_RS19575	K03570
CRV15_RS19565	K00940
CRV15_RS19545	K01873
CRV15_RS19535	K03544
CRV15_RS19530	K01358
CRV15_RS19520	K03545
CRV15_RS05945	K01512
CRV15_RS05965	K02911
CRV15_RS06000	K02902
CRV15_RS06005	K00941
CRV15_RS06020	K01921
CRV15_RS06045	K03530
CRV15_RS06055	K01704
CRV15_RS06060	K01703
CRV15_RS06100	K01885
CRV15_RS06115	K07131
CRV15_RS26430	K04654
CRV15_RS26435	K04653
CRV15_RS26445	K04652
CRV15_RS26455	K03605
CRV15_RS26480	K06281
CRV15_RS26485	K06282
CRV15_RS26550	K21829
CRV15_RS02705	K09858
CRV15_RS02670	K02065
CRV15_RS02660	K02066
CRV15_RS02655	K02067
CRV15_RS19935	K03711
CRV15_RS19925	K03584
CRV15_RS19855	K03699
CRV15_RS19850	K07042
CRV15_RS19845	K06217
CRV15_RS19835	K21053
CRV15_RS19830	K00784
CRV15_RS19825	K02503
CRV15_RS19800	K03686
CRV15_RS19795	K03705
CRV15_RS19775	K01897
CRV15_RS19770	K03596
CRV15_RS19765	K02968
CRV15_RS11795	K00604
CRV15_RS11835	K01990
CRV15_RS11890	K06901
CRV15_RS06275	K00826
CRV15_RS06280	K00052
CRV15_RS06360	K00294
CRV15_RS06365	K00318
CRV15_RS06380	K00053
CRV15_RS06385	K01653
CRV15_RS27650	K01487
CRV15_RS27565	K13936
CRV15_RS27540	K03799
CRV15_RS27525	K05375
CRV15_RS23265	K23188
CRV15_RS23260	K06117
CRV15_RS23220	K03652
CRV15_RS23215	K06377
CRV15_RS23185	K02013
CRV15_RS23145	K21397
CRV15_RS23135	K08296
CRV15_RS23110	K11611
CRV15_RS23105	K00059
CRV15_RS23100	K03568
CRV15_RS33800	K00812
CRV15_RS33695	K02004
CRV15_RS24045	K07010
CRV15_RS24030	K02001/K02002
CRV15_RS24025	K02000
CRV15_RS23990	K07029
CRV15_RS23980	K03116
CRV15_RS23965	K13573
CRV15_RS23960	K13572
CRV15_RS23955	K01802
CRV15_RS23945	K13571
CRV15_RS23930	K03432
CRV15_RS23925	K03433
CRV15_RS23915	K13570
CRV15_RS18030	K10232
CRV15_RS18020	K10234
CRV15_RS18005	K05520
CRV15_RS17985	K03070
CRV15_RS17945	K07670
CRV15_RS24865	K03699
CRV15_RS24855	K00765
CRV15_RS24850	K01523
CRV15_RS24845	K00794
CRV15_RS24835	K03811
CRV15_RS24830	K00793
CRV15_RS24795	K00468
CRV15_RS24790	K01506
