From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WP_003962830.1	E2Q2N8	unreviewed	E2Q2N8_STRCL	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	SCLAV_5682	Streptomyces clavuligerus	199
WP_003962829.1	E2Q2N7	unreviewed	E2Q2N7_STRCL	Putative transcriptional regulator	SCLAV_5681	Streptomyces clavuligerus	421
WP_003962828.1	E2Q2N6	unreviewed	E2Q2N6_STRCL	Putative glycine betaine aldehyde dehydrogenase	SCLAV_5680	Streptomyces clavuligerus	489
WP_003962827.1	E2Q2N5	unreviewed	E2Q2N5_STRCL	Putative amino acid permease	SCLAV_5679	Streptomyces clavuligerus	571
WP_003957286.1	B5GZB8	unreviewed	B5GZB8_STRCL	Probable aldehyde dehydrogenase (EC 1.2.1.3)	aldH SCLAV_5677	Streptomyces clavuligerus	507
WP_003962822.1	E2Q2M8	unreviewed	E2Q2M8_STRCL	Prenyltransferase and squalene oxidase repeat protein	SCLAV_5672	Streptomyces clavuligerus	529
WP_003962821.1	E2Q2M7	unreviewed	E2Q2M7_STRCL	Terpene synthase metal-binding protein	SCLAV_5671	Streptomyces clavuligerus	311
WP_003957291.1	B5GZC3	unreviewed	B5GZC3_STRCL	Pentalenene C13 hydroxylase cytochrome P450	SCLAV_5670	Streptomyces clavuligerus	453
WP_003957292.1	B5GZC4	unreviewed	B5GZC4_STRCL	Transcriptional regulator, AsnC family	SCLAV_5669	Streptomyces clavuligerus	147
WP_003957293.1	B5GZC5	unreviewed	B5GZC5_STRCL	Cystathionine gamma-synthase	SCLAV_5668	Streptomyces clavuligerus	397
WP_003957294.1	B5GZC6	unreviewed	B5GZC6_STRCL	Amidohydrolase-like protein	SCLAV_5667	Streptomyces clavuligerus	433
WP_003962820.1	E2Q2M1	unreviewed	E2Q2M1_STRCL	PA14 domain protein	SCLAV_5665	Streptomyces clavuligerus	572
WP_003957298.1	B5GZD0	unreviewed	B5GZD0_STRCL	Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	SCLAV_5663	Streptomyces clavuligerus	441
WP_003962818.1	E2Q2L7	unreviewed	E2Q2L7_STRCL	Putative membrane protein	SCLAV_5661	Streptomyces clavuligerus	417
WP_003962816.1	E2Q2L5	unreviewed	E2Q2L5_STRCL	Integral membrane protein	SCLAV_5659	Streptomyces clavuligerus	443
WP_003957304.1	B5GZD6	unreviewed	B5GZD6_STRCL	GlcNAc-PI de-N-acetylase family protein	SCLAV_5656	Streptomyces clavuligerus	215
WP_003957305.1	B5GZD7	unreviewed	B5GZD7_STRCL	Transferase (EC 2.7.7.33)	SCLAV_5655	Streptomyces clavuligerus	273
WP_003957306.1	B5GZD8	unreviewed	B5GZD8_STRCL	Putative methyltransferase	SCLAV_5654	Streptomyces clavuligerus	411
WP_003962812.1	E2Q2K8	unreviewed	E2Q2K8_STRCL	Putative membrane protein	SCLAV_5652	Streptomyces clavuligerus	432
WP_003962811.1	E2Q2K7	unreviewed	E2Q2K7_STRCL	Heparinase II/III family protein	SCLAV_5651	Streptomyces clavuligerus	650
WP_003957311.1	B5GZE3	unreviewed	B5GZE3_STRCL	Bi-domain oxidoreductase	SCLAV_5650	Streptomyces clavuligerus	729
WP_003957312.1	B5GZE4	unreviewed	B5GZE4_STRCL	asparagine synthase (glutamine-hydrolyzing) (EC 6.3.5.4)	SCLAV_5649	Streptomyces clavuligerus	642
WP_003962810.1	E2Q2K4	unreviewed	E2Q2K4_STRCL	Putative membrane protein	SCLAV_5648	Streptomyces clavuligerus	524
WP_003962809.1	E2Q2K3	unreviewed	E2Q2K3_STRCL	Putative membrane protein	SCLAV_5647	Streptomyces clavuligerus	467
WP_003957316.1	B5GZE8	unreviewed	B5GZE8_STRCL	GDP-mannose 6-dehydrogenase (EC 1.1.1.132)	SCLAV_5645	Streptomyces clavuligerus	438
WP_003957317.1	B5GZE9	unreviewed	B5GZE9_STRCL	Glycosyl transferase	SCLAV_5644	Streptomyces clavuligerus	492
WP_003962805.1	E2Q2J4	unreviewed	E2Q2J4_STRCL	Putative non-ribosomal peptide synthetase	SCLAV_5638	Streptomyces clavuligerus	622
WP_003962804.1	E2Q2J3	unreviewed	E2Q2J3_STRCL	LmbU and cloE-like protein	SCLAV_5637	Streptomyces clavuligerus	219
WP_003962801.1	E2Q2J0	unreviewed	E2Q2J0_STRCL	Putative FAD-dependent oxidoreductase	SCLAV_5634	Streptomyces clavuligerus	476
WP_003962800.1	E2Q2I9	unreviewed	E2Q2I9_STRCL	Antibiotic biosynthesis monooxygenase	SCLAV_5633	Streptomyces clavuligerus	117
WP_003962799.1	E2Q2I8	unreviewed	E2Q2I8_STRCL	Putative acetyltransferase	SCLAV_5632	Streptomyces clavuligerus	189
WP_003962798.1	E2Q2I7	unreviewed	E2Q2I7_STRCL	Putative tetR-family transcriptional regulator	SCLAV_5631	Streptomyces clavuligerus	216
WP_003962796.1	E2Q2I5	unreviewed	E2Q2I5_STRCL	Putative phosphotransferase	SCLAV_5629	Streptomyces clavuligerus	250
WP_003962795.1	E2Q2I4	unreviewed	E2Q2I4_STRCL	DUF574 domain-containing protein	SCLAV_5628	Streptomyces clavuligerus	270
WP_003962794.1	E2Q1R8	unreviewed	E2Q1R8_STRCL	Putative calcium binding protein	SCLAV_5627	Streptomyces clavuligerus	188
WP_003962788.1	E2Q1R2	unreviewed	E2Q1R2_STRCL	Integral membrane sensor protein	SCLAV_5621	Streptomyces clavuligerus	933
WP_003962787.1	E2Q1R1	unreviewed	E2Q1R1_STRCL	Serine/threonine protein kinase (EC 2.7.11.1)	SCLAV_5620	Streptomyces clavuligerus	1295
WP_003962786.1	E2Q1R0	unreviewed	E2Q1R0_STRCL	Integral membrane protein	SCLAV_5619	Streptomyces clavuligerus	391
WP_003962785.1	E2Q1Q9	unreviewed	E2Q1Q9_STRCL	Putative secreted protein	SCLAV_5618	Streptomyces clavuligerus	424
WP_003962783.1	E2Q1Q7	unreviewed	E2Q1Q7_STRCL	ATP/GTP-binding protein	SCLAV_5616	Streptomyces clavuligerus	444
WP_003962782.1	E2Q1Q6	unreviewed	E2Q1Q6_STRCL	TRAP dicarboxylate transporter	SCLAV_5615	Streptomyces clavuligerus	307
WP_003959056.1	B5H419	unreviewed	B5H419_STRCL	Putative FAD-dependent oxidoreductase	SCLAV_5613	Streptomyces clavuligerus	569
WP_003962779.1	E2Q1Q1	unreviewed	E2Q1Q1_STRCL	Putative dihydroxyacetone kinase subunit 1	SCLAV_5610	Streptomyces clavuligerus	332
WP_003962778.1	E2Q1Q0	unreviewed	E2Q1Q0_STRCL	Putative dihydroxyacetone kinase subunit 2	SCLAV_5609	Streptomyces clavuligerus	236
WP_003962776.1	E2Q1P8	unreviewed	E2Q1P8_STRCL	Uncharacterized protein	SCLAV_5607	Streptomyces clavuligerus	381
WP_003962775.1	E2Q1P7	unreviewed	E2Q1P7_STRCL	Cell surface protein	SCLAV_5606	Streptomyces clavuligerus	515
WP_003962774.1	E2Q1P6	unreviewed	E2Q1P6_STRCL	Uncharacterized protein	SCLAV_5605	Streptomyces clavuligerus	364
WP_003962773.1	E2Q1P5	unreviewed	E2Q1P5_STRCL	Uncharacterized protein	SCLAV_5604	Streptomyces clavuligerus	1198
WP_003962772.1	E2Q1P4	unreviewed	E2Q1P4_STRCL	Uncharacterized protein	SCLAV_5603	Streptomyces clavuligerus	728
WP_003962769.1	E2Q1P2	unreviewed	E2Q1P2_STRCL	Terpene synthase C domain-containing protein	SCLAV_5601	Streptomyces clavuligerus	312
WP_003962768.1	E2Q1P1	unreviewed	E2Q1P1_STRCL	Short-chain dehydrogenase/reductase SDR	SCLAV_5600	Streptomyces clavuligerus	253
WP_003962767.1	E2Q1P0	unreviewed	E2Q1P0_STRCL	Putative cytochrome P450	SCLAV_5599	Streptomyces clavuligerus	453
WP_003962766.1	E2Q1N9	unreviewed	E2Q1N9_STRCL	Prenyltransferase/squalene oxidase	SCLAV_5598	Streptomyces clavuligerus	545
WP_003962765.1	E2Q1N8	unreviewed	E2Q1N8_STRCL	DUF4334 domain-containing protein	SCLAV_5597	Streptomyces clavuligerus	153
WP_003962764.1	E2Q1N7	unreviewed	E2Q1N7_STRCL	DUF385 domain-containing protein	SCLAV_5596	Streptomyces clavuligerus	148
WP_003962763.1	E2Q1N6	unreviewed	E2Q1N6_STRCL	DUF779 domain-containing protein	SCLAV_5595	Streptomyces clavuligerus	122
WP_003962762.1	E2Q1N5	unreviewed	E2Q1N5_STRCL	Uncharacterized protein	SCLAV_5594	Streptomyces clavuligerus	64
WP_003962759.1	E2Q1N2	unreviewed	E2Q1N2_STRCL	ABC transporter ATP-binding protein	SCLAV_5591	Streptomyces clavuligerus	220
WP_003962758.1	E2Q1N1	unreviewed	E2Q1N1_STRCL	Putative ABC transporter ATP-binding protein	SCLAV_5590	Streptomyces clavuligerus	325
WP_003962754.1	E2Q1M7	unreviewed	E2Q1M7_STRCL	Acyl-CoA dehydrogenase	SCLAV_5586	Streptomyces clavuligerus	389
WP_003962753.1	E2Q1M6	unreviewed	E2Q1M6_STRCL	Acyl-CoA dehydrogenase	SCLAV_5585	Streptomyces clavuligerus	394
WP_003962752.1	E2Q1M5	unreviewed	E2Q1M5_STRCL	Putative oxidoreductase	SCLAV_5584	Streptomyces clavuligerus	333
WP_003962747.1	E2Q1M0	unreviewed	E2Q1M0_STRCL	Putative ABC transporter ATP-binding protein	SCLAV_5579	Streptomyces clavuligerus	387
WP_003962746.1	E2Q1L9	unreviewed	E2Q1L9_STRCL	Esterase	SCLAV_5578	Streptomyces clavuligerus	323
WP_003962745.1	E2Q1L8	unreviewed	E2Q1L8_STRCL	Secreted protein	SCLAV_5577	Streptomyces clavuligerus	386
WP_003962744.1	E2Q1L7	unreviewed	E2Q1L7_STRCL	Putative ABC transporter substrate-binding protein	SCLAV_5576	Streptomyces clavuligerus	370
WP_003962743.1	E2Q1L6	unreviewed	E2Q1L6_STRCL	ABC transporter permease	SCLAV_5575	Streptomyces clavuligerus	223
WP_003962742.1	E2Q1L5	unreviewed	E2Q1L5_STRCL	Putative ABC transporter permease	SCLAV_5574	Streptomyces clavuligerus	226
WP_003962741.1	E2Q1L4	unreviewed	E2Q1L4_STRCL	Glyoxalase/bleomycin resistance protein/dioxygenase	SCLAV_5573	Streptomyces clavuligerus	137
WP_003962739.1	E2Q1L2	unreviewed	E2Q1L2_STRCL	DUF35 domain-containing protein	SCLAV_5571	Streptomyces clavuligerus	131
WP_003958990.1	B5H3V9	unreviewed	B5H3V9_STRCL	Thioesterase	aveG SCLAV_5567	Streptomyces clavuligerus	263
WP_003958988.1	B5H3V7	unreviewed	B5H3V7_STRCL	Putative cytochrome P450	SCLAV_5564	Streptomyces clavuligerus	418
WP_003958986.1	B5H3V5	unreviewed	B5H3V5_STRCL	3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)	SCLAV_5561	Streptomyces clavuligerus	303
WP_003962730.1	E2Q1J9	unreviewed	E2Q1J9_STRCL	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)	metX metXA SCLAV_5558	Streptomyces clavuligerus	383
WP_003962729.1	E2Q1J8	unreviewed	E2Q1J8_STRCL	Phage protein	SCLAV_5557	Streptomyces clavuligerus	303
WP_003962727.1	E2Q1J6	unreviewed	E2Q1J6_STRCL	Uncharacterized protein	SCLAV_5555	Streptomyces clavuligerus	157
WP_003962725.1	E2Q1J4	unreviewed	E2Q1J4_STRCL	Cytochrome P450	SCLAV_5553	Streptomyces clavuligerus	410
WP_003962724.1	E2Q1J3	unreviewed	E2Q1J3_STRCL	Putative ferredoxin reductase	fprA SCLAV_5552	Streptomyces clavuligerus	456
WP_003962723.1	E2Q1J2	unreviewed	E2Q1J2_STRCL	Ferredoxin	fdxA SCLAV_5551	Streptomyces clavuligerus	68
WP_003962722.1	E2Q1J1	unreviewed	E2Q1J1_STRCL	Sheath polysaccharide-degrading enzyme	SCLAV_5550	Streptomyces clavuligerus	319
WP_003962721.1	E2Q1J0	unreviewed	E2Q1J0_STRCL	Cytochrome P450	SCLAV_5549	Streptomyces clavuligerus	480
WP_003962720.1	E2Q1I9	unreviewed	E2Q1I9_STRCL	Putative hydrolytic protein	SCLAV_5548	Streptomyces clavuligerus	328
WP_003962719.1	E2Q1I8	unreviewed	E2Q1I8_STRCL	YD repeat protein	SCLAV_5547	Streptomyces clavuligerus	2272
WP_003959026.1	B5H3Z3	unreviewed	B5H3Z3_STRCL	Uncharacterized protein	SCLAV_5545	Streptomyces clavuligerus	102
WP_003962716.1	E2Q1I3	unreviewed	E2Q1I3_STRCL	Dolichol-phosphate mannosyltransferase (EC 2.4.1.83)	dpm SCLAV_5542	Streptomyces clavuligerus	411
WP_003962715.1	E2Q1I2	unreviewed	E2Q1I2_STRCL	Putative Galactose oxidase (EC 1.1.3.9)	SCLAV_5541	Streptomyces clavuligerus	796
WP_003962714.1	E2Q1I1	unreviewed	E2Q1I1_STRCL	Uncharacterized protein	SCLAV_5540	Streptomyces clavuligerus	942
WP_003962712.1	E2Q1H9	unreviewed	E2Q1H9_STRCL	Uncharacterized protein	SCLAV_5538	Streptomyces clavuligerus	133
WP_003962711.1	E2Q1H8	unreviewed	E2Q1H8_STRCL	LysR family trancsriptional regulator	SCLAV_5537	Streptomyces clavuligerus	268
WP_003962710.1	E2Q1H7	unreviewed	E2Q1H7_STRCL	Uncharacterized protein	SCLAV_5536	Streptomyces clavuligerus	216
WP_003962709.1	E2Q1H6	unreviewed	E2Q1H6_STRCL	Uncharacterized protein	SCLAV_5535	Streptomyces clavuligerus	649
WP_003962706.1	E2Q1H4	unreviewed	E2Q1H4_STRCL	GAF domain protein	SCLAV_5533	Streptomyces clavuligerus	667
WP_003962705.1	E2Q1H3	unreviewed	E2Q1H3_STRCL	Major facilitator superfamily permease	SCLAV_5532	Streptomyces clavuligerus	479
WP_003962704.1	E2Q1H2	unreviewed	E2Q1H2_STRCL	Putative 3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	SCLAV_5531	Streptomyces clavuligerus	265
WP_003962703.1	E2Q1H1	unreviewed	E2Q1H1_STRCL	Uncharacterized protein	SCLAV_5530	Streptomyces clavuligerus	346
WP_003962696.1	E2Q1G3	unreviewed	E2Q1G3_STRCL	Regulatory protein	SCLAV_5522	Streptomyces clavuligerus	246
WP_003962695.1	E2Q1G2	unreviewed	E2Q1G2_STRCL	Predicted transcriptional regulator	SCLAV_5521	Streptomyces clavuligerus	127
WP_003962694.1	E2Q1G1	unreviewed	E2Q1G1_STRCL	Integral membrane protein	SCLAV_5520	Streptomyces clavuligerus	310
WP_003962692.1	E2Q1F9	unreviewed	E2Q1F9_STRCL	Uncharacterized protein	SCLAV_5518	Streptomyces clavuligerus	72
WP_003962691.1	E2Q1F8	unreviewed	E2Q1F8_STRCL	Sensory histidine kinase in two-component regulatory system wtih KdpE (EC 2.7.13.3)	kdpD SCLAV_5517	Streptomyces clavuligerus	845
WP_003962690.1	E2Q1F7	unreviewed	E2Q1F7_STRCL	Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain)	kdpA SCLAV_5516	Streptomyces clavuligerus	554
WP_003962689.1	E2Q1F6	unreviewed	E2Q1F6_STRCL	Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)	kdpB kdpB4 SCLAV_5515	Streptomyces clavuligerus	700
WP_003962688.1	E2Q1F5	unreviewed	E2Q1F5_STRCL	Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain)	kdpC kdpC2 SCLAV_5514	Streptomyces clavuligerus	206
WP_003962687.1	E2Q1F4	unreviewed	E2Q1F4_STRCL	Puromycin N-acetyltransferase	SCLAV_5513	Streptomyces clavuligerus	209
WP_003962686.1	E2Q1F3	unreviewed	E2Q1F3_STRCL	N,N-dimethylformamidase beta subunit-like C-terminal domain-containing protein	SCLAV_5512	Streptomyces clavuligerus	533
WP_003962685.1	E2Q1F2	unreviewed	E2Q1F2_STRCL	CU044_5270 family protein	SCLAV_5511	Streptomyces clavuligerus	373
WP_003956355.1	Q3LTK1	unreviewed	Q3LTK1_STRCL	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	gap2	Streptomyces clavuligerus	481
WP_003956354.1	B5GWU9	unreviewed	B5GWU9_STRCL	Secreted protein	SCLAV_5508	Streptomyces clavuligerus	148
WP_003962682.1	E2Q1E7	unreviewed	E2Q1E7_STRCL	Uncharacterized protein	SCLAV_5506	Streptomyces clavuligerus	946
WP_003962681.1	E2Q1E6	unreviewed	E2Q1E6_STRCL	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase)	SCLAV_5505	Streptomyces clavuligerus	446
WP_003962680.1	E2Q1E5	unreviewed	E2Q1E5_STRCL	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9)	SCLAV_5504	Streptomyces clavuligerus	394
WP_003956350.1	B5GWU5	unreviewed	B5GWU5_STRCL	DUF2690 domain-containing protein	SCLAV_5502	Streptomyces clavuligerus	240
WP_003962677.1	E2Q1E0	unreviewed	E2Q1E0_STRCL	peptidoglycan glycosyltransferase (EC 2.4.1.129)	SCLAV_5499	Streptomyces clavuligerus	724
WP_003956346.1	B5GWU1	unreviewed	B5GWU1_STRCL	ErfK/YbiS/YcfS/YnhG protein	SCLAV_5498	Streptomyces clavuligerus	421
WP_003956345.1	B5GWU0	unreviewed	B5GWU0_STRCL	Transport permease protein	SCLAV_5497	Streptomyces clavuligerus	269
WP_003956344.1	B5GWT9	unreviewed	B5GWT9_STRCL	Daunorubicin resistance ABC transporter ATPase subunit	SCLAV_5496	Streptomyces clavuligerus	322
WP_003956343.1	B5GWT8	unreviewed	B5GWT8_STRCL	PqqD family protein	SCLAV_5495	Streptomyces clavuligerus	113
WP_003962676.1	E2Q0L8	unreviewed	E2Q0L8_STRCL	Metallo cofactor biosynthesis protein	SCLAV_5494	Streptomyces clavuligerus	492
WP_003962674.1	E2Q0L6	unreviewed	E2Q0L6_STRCL	Type III PKS, putative chalcone synthase (EC 2.3.1.74)	rppA SCLAV_5492	Streptomyces clavuligerus	351
WP_003962672.1	E2Q0L4	unreviewed	E2Q0L4_STRCL	Putative transketolase (EC 2.2.1.1)	tkt SCLAV_5490	Streptomyces clavuligerus	614
WP_003956335.1	B5GWT0	unreviewed	B5GWT0_STRCL	Cupin family protein	SCLAV_5486	Streptomyces clavuligerus	127
WP_003962668.1	E2Q0K9	unreviewed	E2Q0K9_STRCL	Non-ribosomal peptide synthetase	SCLAV_5485	Streptomyces clavuligerus	479
WP_003956333.1	B5GWS8	unreviewed	B5GWS8_STRCL	Non-ribosomal peptide synthetase	SCLAV_5484	Streptomyces clavuligerus	618
WP_003956331.1	B5GWS6	unreviewed	B5GWS6_STRCL	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	savM2 SCLAV_5482	Streptomyces clavuligerus	666
WP_003956330.1	B5GWS5	unreviewed	B5GWS5_STRCL	non-specific serine/threonine protein kinase (EC 2.7.11.1)	SCLAV_5481	Streptomyces clavuligerus	505
WP_003956329.1	B5GWS4	unreviewed	B5GWS4_STRCL	PD-(D/E)XK endonuclease-like domain-containing protein	SCLAV_5480	Streptomyces clavuligerus	596
WP_003956328.1	B5GWS3	unreviewed	B5GWS3_STRCL	Transcriptional regulator, Fis family	SCLAV_5479	Streptomyces clavuligerus	390
WP_003962666.1	E2Q0K2	unreviewed	E2Q0K2_STRCL	Signal recognition particle	SCLAV_5478	Streptomyces clavuligerus	1253
WP_003956326.1	B5GWS1	unreviewed	B5GWS1_STRCL	DUF3893 domain-containing protein	SCLAV_5477	Streptomyces clavuligerus	1024
WP_003962663.1	E2Q0J7	unreviewed	E2Q0J7_STRCL	Uncharacterized protein	SCLAV_5473	Streptomyces clavuligerus	447
WP_003962662.1	E2Q0J6	unreviewed	E2Q0J6_STRCL	Glycosyl transferase	SCLAV_5472	Streptomyces clavuligerus	398
WP_003962661.1	E2Q0J5	unreviewed	E2Q0J5_STRCL	Uncharacterized protein	SCLAV_5471	Streptomyces clavuligerus	83
WP_003962660.1	E2Q0J4	unreviewed	E2Q0J4_STRCL	Uncharacterized protein	SCLAV_5470	Streptomyces clavuligerus	563
WP_003962659.1	E2Q0J3	unreviewed	E2Q0J3_STRCL	Stress-inducible protein	SCLAV_5469	Streptomyces clavuligerus	287
WP_003956319.1	B5GWR4	unreviewed	B5GWR4_STRCL	Secreted protein	SCLAV_5467	Streptomyces clavuligerus	142
WP_003956318.1	B5GWR3	unreviewed	B5GWR3_STRCL	Magnesium transporter	SCLAV_5466	Streptomyces clavuligerus	427
WP_003956317.1	B5GWR2	unreviewed	B5GWR2_STRCL	Uncharacterized protein	SCLAV_5465	Streptomyces clavuligerus	195
WP_003956316.1	B5GWR1	unreviewed	B5GWR1_STRCL	Putative ABC transporter, ATP-binding protein	SCLAV_5464	Streptomyces clavuligerus	249
WP_003962655.1	E2Q0I5	unreviewed	E2Q0I5_STRCL	Cytochrome P450 (EC 1.14.-.-)	SCLAV_5461	Streptomyces clavuligerus	406
WP_003956312.1	B5GWQ7	unreviewed	B5GWQ7_STRCL	FAD-binding domain protein	SCLAV_5460	Streptomyces clavuligerus	389
WP_003956311.1	B5GWQ6	unreviewed	B5GWQ6_STRCL	3-oxoacyl-acp synthase 3 protein 3 (EC 2.3.1.180)	SCLAV_5459	Streptomyces clavuligerus	378
WP_003956310.1	B5GWQ5	unreviewed	B5GWQ5_STRCL	Short-chain dehydrogenase/reductase SDR	SCLAV_5458	Streptomyces clavuligerus	255
WP_003962654.1	E2Q0I1	unreviewed	E2Q0I1_STRCL	Histidine ammonia-lyase (EC 4.3.1.3)	SCLAV_5457	Streptomyces clavuligerus	559
WP_003956307.1	B5GWQ2	unreviewed	B5GWQ2_STRCL	Uncharacterized protein	SCLAV_5455	Streptomyces clavuligerus	111
WP_003956306.1	B5GWQ1	unreviewed	B5GWQ1_STRCL	Putative transcriptional regulator	SCLAV_5454	Streptomyces clavuligerus	178
WP_003956305.1	B5GWQ0	unreviewed	B5GWQ0_STRCL	Uncharacterized protein	SCLAV_5453	Streptomyces clavuligerus	119
WP_003962652.1	E2Q0H6	unreviewed	E2Q0H6_STRCL	Putative membrane protein	SCLAV_5452	Streptomyces clavuligerus	366
WP_003962651.1	E2Q0H5	unreviewed	E2Q0H5_STRCL	Peptidase M48 Ste24p	SCLAV_5451	Streptomyces clavuligerus	538
WP_003962650.1	E2Q0H4	unreviewed	E2Q0H4_STRCL	DUF4097 domain-containing protein	SCLAV_5450	Streptomyces clavuligerus	278
WP_003962649.1	E2Q0H3	unreviewed	E2Q0H3_STRCL	Histidine kinase	SCLAV_5449	Streptomyces clavuligerus	178
WP_003962647.1	E2Q0H1	unreviewed	E2Q0H1_STRCL	Transcriptional regulator	SCLAV_5447	Streptomyces clavuligerus	1133
WP_003962645.1	E2Q0G9	unreviewed	E2Q0G9_STRCL	Possible diacylglycerol kinase, catalytic region	SCLAV_5445	Streptomyces clavuligerus	445
WP_003962644.1	E2Q0G8	unreviewed	E2Q0G8_STRCL	Uncharacterized protein	SCLAV_5444	Streptomyces clavuligerus	222
WP_003962642.1	E2Q0G6	unreviewed	E2Q0G6_STRCL	Putative transcriptional regulator	SCLAV_5442	Streptomyces clavuligerus	210
WP_003962641.1	E2Q0G5	unreviewed	E2Q0G5_STRCL	Pyruvate phosphate dikinase (EC 2.7.9.1)	SCLAV_5441	Streptomyces clavuligerus	608
WP_003962640.1	E2Q0G4	unreviewed	E2Q0G4_STRCL	Putative secreted chitin-binding protein	SCLAV_5440	Streptomyces clavuligerus	171
WP_003962639.1	E2Q0G3	unreviewed	E2Q0G3_STRCL	Membrane protein YndG	SCLAV_5439	Streptomyces clavuligerus	233
WP_003962638.1	E2Q0G2	unreviewed	E2Q0G2_STRCL	DUF4166 domain-containing protein	SCLAV_5438	Streptomyces clavuligerus	226
WP_003962637.1	E2Q0G1	unreviewed	E2Q0G1_STRCL	Regulatory protein	SCLAV_5437	Streptomyces clavuligerus	241
WP_003962635.1	E2Q0F9	unreviewed	E2Q0F9_STRCL	Oxidoreductase	SCLAV_5435	Streptomyces clavuligerus	328
WP_003962634.1	E2Q0F8	unreviewed	E2Q0F8_STRCL	Uncharacterized protein	SCLAV_5434	Streptomyces clavuligerus	445
WP_003962631.1	E2Q0F5	unreviewed	E2Q0F5_STRCL	Subtilisin-like serine protease	SCLAV_5431	Streptomyces clavuligerus	388
WP_003959173.1	B5H4C2	unreviewed	B5H4C2_STRCL	ABC transporter substrate-binding protein	SCLAV_5429	Streptomyces clavuligerus	345
WP_003962629.1	E2Q0F2	unreviewed	E2Q0F2_STRCL	ABC transporter permease	SCLAV_5428	Streptomyces clavuligerus	223
