contig,locus_tag,gene_name,start,end,strand,gene_biotype,product,protein_id,gene_ontology,Uniprot Entry,Uniprot Protein names,Uniprot Gene Names
chromosome,CRV15_RS36605,,1737842,1738150,-,protein_coding,hypothetical protein,WP_003952366.1,,,,
chromosome,CRV15_RS06890,,1740274,1741650,+,protein_coding,ABC transporter substrate-binding protein,WP_003952369.1,,,,
chromosome,CRV15_RS06895,,1741647,1742510,+,protein_coding,sugar ABC transporter permease,WP_003952370.1,ATPase-coupled transmembrane transporter activity [GO:0042626]; ABC-type transporter activity [GO:0140359],B5GKZ3,ABC transporter permease protein,SCLAV_4334
chromosome,CRV15_RS06900,,1742507,1743382,+,protein_coding,carbohydrate ABC transporter permease,WP_003952371.1,carbohydrate transport [GO:0008643]; transmembrane transport [GO:0055085],B5GKZ4,Integral membrane transport protein,SCLAV_4333
chromosome,CRV15_RS06905,,1743411,1744436,-,protein_coding,ATP-dependent 6-phosphofructokinase,WP_003952372.1,6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; fructose 6-phosphate metabolic process [GO:0006002],B5GKZ5,ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase),SCLAV_4332 pfkA
chromosome,CRV15_RS06910,pta,1744739,1746823,+,protein_coding,phosphate acetyltransferase,WP_003952373.1,acetyltransferase activity [GO:0016407],B5GKZ6,Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase),SCLAV_4331
chromosome,CRV15_RS06915,,1746868,1748097,+,protein_coding,acetate kinase,WP_003952374.1,magnesium ion binding [GO:0000287]; ATP binding [GO:0005524]; acetate kinase activity [GO:0008776]; acetyl-CoA biosynthetic process [GO:0006085]; phosphorylation [GO:0016310],B5GKZ7,Acetate kinase (EC 2.7.2.1) (Acetokinase),SCLAV_4330 ackA
chromosome,CRV15_RS06920,pyk,1748172,1749596,+,protein_coding,pyruvate kinase,WP_003952375.1,pyruvate kinase activity [GO:0004743]; glycolytic process [GO:0006096]; cytoplasm [GO:0005737],B5GKZ8,Pyruvate kinase (EC 2.7.1.40),SCLAV_4329
chromosome,CRV15_RS06935,,1752004,1752657,-,protein_coding,DUF6230 family protein,WP_003952377.1,,B5GL00,Uncharacterized protein,SCLAV_4325
chromosome,CRV15_RS06945,,1754502,1755140,+,protein_coding,TetR/AcrR family transcriptional regulator,WP_003952379.1,DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355],B5GL02,TetR-family transcriptional regulator,SCLAV_4322
chromosome,CRV15_RS06950,,1755205,1756905,-,protein_coding,methylmalonyl-CoA mutase family protein,WP_003952381.1,intramolecular transferase activity [GO:0016866]; cobalamin binding [GO:0031419],B5GL03,methylmalonyl-CoA mutase (EC 5.4.99.2),SCLAV_4321
chromosome,CRV15_RS06960,,1757461,1757970,-,protein_coding,MarR family transcriptional regulator,WP_003952383.1,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],B5GL05,Regulator protein,SCLAV_4319
chromosome,CRV15_RS06965,,1758091,1758435,-,protein_coding,DUF3817 domain-containing protein,WP_003952384.1,membrane [GO:0016020],,,
chromosome,CRV15_RS06980,,1759961,1760755,+,protein_coding,AIM24 family protein,WP_003952388.1,,B5GL09,DUF124 domain-containing protein,SCLAV_4315
chromosome,CRV15_RS06985,,1760902,1761378,+,protein_coding,MarR family transcriptional regulator,WP_003952389.1,DNA-binding transcription factor activity [GO:0003700]; regulation of DNA-templated transcription [GO:0006355],B5GL10,MarR-family transcriptional regulator,SCLAV_4314
chromosome,CRV15_RS06990,,1761514,1762965,-,protein_coding,HAMP domain-containing sensor histidine kinase,WP_003952390.1,phosphorelay response regulator activity [GO:0000156]; protein histidine kinase activity [GO:0004673]; ATP binding [GO:0005524]; signal transduction [GO:0007165],B5GL11,histidine kinase (EC 2.7.13.3),SCLAV_4313
chromosome,CRV15_RS06995,,1762962,1763627,-,protein_coding,response regulator transcription factor,WP_003952391.1,DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355],B5GL12,Putative two-component system response regulator,SCLAV_4312
chromosome,CRV15_RS07000,,1763747,1764295,+,protein_coding,PepSY domain-containing protein,WP_003952392.1,,B5GL13,PepSY domain-containing protein,SCLAV_4311
chromosome,CRV15_RS07005,meaB,1764793,1765755,-,protein_coding,methylmalonyl Co-A mutase-associated GTPase MeaB,WP_003952393.1,"transferase activity, transferring phosphorus-containing groups [GO:0016772]; lysine transport [GO:0015819]; ornithine transport [GO:0015822]; L-arginine transmembrane transport [GO:1903826]",B5GL14,Transport system kinase (EC 2.7.-.-),SCLAV_4310 argK
chromosome,CRV15_RS07010,,1765808,1767013,-,protein_coding,acetyl-CoA C-acetyltransferase,WP_003952394.1,"acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",B5GL15,Probable acetyl-CoA acetyltransferase (EC 2.3.1.9),SCLAV_4309
chromosome,CRV15_RS07015,mce,1767161,1767589,+,protein_coding,methylmalonyl-CoA epimerase,WP_003952395.1,,B5GL16,Methylmalonyl-CoA epimerase,SCLAV_4308
chromosome,CRV15_RS07025,,1772448,1773383,+,protein_coding,hypothetical protein,WP_003952398.1,,B5GL19,Cellulose-binding protein,SCLAV_4305
chromosome,CRV15_RS07030,,1773494,1774504,+,protein_coding,ATP-binding cassette domain-containing protein,WP_003952399.1,ATP binding [GO:0005524],B5GL20,Putative ABC transporter ATP-binding protein,SCLAV_4304
chromosome,CRV15_RS07035,,1774508,1775290,+,protein_coding,ABC transporter permease,WP_003952400.1,,B5GL21,ABC transporter integral membrane subunit,SCLAV_4303
chromosome,CRV15_RS07040,,1775521,1776717,+,protein_coding,ABC transporter ATP-binding protein,WP_003952401.1,ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ABC-type transporter activity [GO:0140359],B5GL22,ABC transporter ATP-binding protein,SCLAV_4302
chromosome,CRV15_RS07045,,1776714,1777556,+,protein_coding,ABC transporter permease,WP_003952402.1,,B5GL23,ABC transporter integral membrane protein,SCLAV_4301
chromosome,CRV15_RS07050,,1777647,1777973,-,protein_coding,hypothetical protein,WP_003952404.1,,B5GL24,ATP/GTP-binding protein,SCLAV_4300
chromosome,CRV15_RS07055,,1778195,1779223,+,protein_coding,LLM class flavin-dependent oxidoreductase,WP_003952405.1,FMN binding [GO:0010181]; oxidoreductase activity [GO:0016491],B5GL25,Luciferase-family protein,SCLAV_4299
chromosome,CRV15_RS07060,,1779486,1779878,-,protein_coding,SCO5389 family protein,WP_003952406.1,,B5GL26,Uncharacterized protein,SCLAV_4298
chromosome,CRV15_RS07075,,1784605,1784928,-,protein_coding,STAS domain-containing protein,WP_003952412.1,anti-sigma factor antagonist activity [GO:0043856],,,
chromosome,CRV15_RS07080,,1785192,1786040,-,protein_coding,3-hydroxyacyl-CoA dehydrogenase family protein,WP_003952413.1,,,,
chromosome,CRV15_RS07085,,1786228,1786800,+,protein_coding,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,WP_003952414.1,corrinoid adenosyltransferase activity [GO:0008817]; cobalamin biosynthetic process [GO:0009236],B5GL33,"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)",SCLAV_4292
chromosome,CRV15_RS07090,,1786877,1787506,-,protein_coding,hypothetical protein,WP_003952415.1,,,,
chromosome,CRV15_RS07095,,1787688,1788890,+,protein_coding,histidine kinase,WP_003952416.1,phosphorelay sensor kinase activity [GO:0000155]; protein dimerization activity [GO:0046983]; phosphorelay signal transduction system [GO:0000160]; membrane [GO:0016020],,,
chromosome,CRV15_RS07100,,1788887,1789579,+,protein_coding,response regulator transcription factor,WP_003952417.1,DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355],B5GL36,Two-component system response regulator,SCLAV_4289
chromosome,CRV15_RS07110,,1792683,1793654,+,protein_coding,NAD-dependent epimerase/dehydratase family protein,WP_003952419.1,catalytic activity [GO:0003824],,,
chromosome,CRV15_RS07135,galE,1797730,1798713,+,protein_coding,UDP-glucose 4-epimerase GalE,WP_003952423.1,UDP-glucose 4-epimerase activity [GO:0003978]; galactose metabolic process [GO:0006012],B5GL42,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase),SCLAV_4282
chromosome,CRV15_RS07160,,1802604,1802849,+,protein_coding,acyl carrier protein,WP_003952427.1,,B5GL46,Polyketide synthase,SCLAV_4277
chromosome,CRV15_RS07165,,1802846,1803517,+,protein_coding,phosphatase PAP2 family protein,WP_003952428.1,,B5GL47,Phosphatidylglycerophosphatase B,SCLAV_4276
chromosome,CRV15_RS07175,,1804100,1804738,-,protein_coding,class I SAM-dependent methyltransferase,WP_003952430.1,methyltransferase activity [GO:0008168]; S-adenosyl-L-methionine binding [GO:1904047],B5GL49,Methyltransferase family protein,SCLAV_4274
chromosome,CRV15_RS07190,atpD,1805952,1807397,-,protein_coding,F0F1 ATP synthase subunit beta,WP_003952433.1,"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; plasma membrane proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045262]",B5GL52,ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta),SCLAV_4271 atpB atpD
chromosome,CRV15_RS07195,,1807397,1808314,-,protein_coding,F0F1 ATP synthase subunit gamma,WP_003952434.1,"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]",B5GL53,ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit),SCLAV_4270 atpG
chromosome,CRV15_RS07200,atpA,1808335,1809933,-,protein_coding,F0F1 ATP synthase subunit alpha,WP_003952435.1,"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]; mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1) [GO:0000275]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; plasma membrane proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045262]",B5GL54,ATP synthase subunit alpha (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha),SCLAV_4269 atpA atpA1
chromosome,CRV15_RS07205,,1810091,1810906,-,protein_coding,F0F1 ATP synthase subunit delta,WP_003952436.1,"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]; membrane [GO:0016020]",B5GL55,ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta),SCLAV_4268 atpH
chromosome,CRV15_RS07210,,1810903,1811448,-,protein_coding,F0F1 ATP synthase subunit B,WP_003952437.1,"proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]",B5GL56,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b),SCLAV_4267 atpF
chromosome,CRV15_RS07215,atpE,1811490,1811732,-,protein_coding,ATP synthase F0 subunit C,WP_003952438.1,"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton motive force-driven ATP synthesis [GO:0015986]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; plasma membrane proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045264]",B5GL57,ATP synthase subunit c (ATP synthase F(0) sector subunit c) (F-type ATPase subunit c) (F-ATPase subunit c) (Lipid-binding protein),SCLAV_4266 atpE
chromosome,CRV15_RS07225,,1812855,1813292,-,protein_coding,hypothetical protein,WP_003952440.1,,B5GL59,ATP synthase I,SCLAV_4264
chromosome,CRV15_RS07230,,1813560,1814945,-,protein_coding,MraY family glycosyltransferase,WP_003952441.1,metal ion binding [GO:0046872],B5GL60,Transferase (EC 2.7.8.-),SCLAV_4263
chromosome,CRV15_RS07245,,1817268,1817915,-,protein_coding,L-threonylcarbamoyladenylate synthase,WP_003952444.1,L-threonylcarbamoyladenylate synthase [GO:0061710]; tRNA modification [GO:0006400],B5GL63,L-threonylcarbamoyladenylate synthase (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase),SCLAV_4260
chromosome,CRV15_RS07250,prmC,1817962,1818807,-,protein_coding,peptide chain release factor N(5)-glutamine methyltransferase,WP_003952445.1,S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]; translation [GO:0006412]; peptidyl-glutamine methylation [GO:0018364],B5GL64,Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC),SCLAV_4259 prmC
chromosome,CRV15_RS07255,prfA,1818892,1819962,-,protein_coding,peptide chain release factor 1,WP_003952446.1,translation release factor activity [GO:0003747]; translational termination [GO:0006415],B5GL65,Peptide chain release factor 1 (RF-1),SCLAV_4258 prfA
chromosome,CRV15_RS07260,rpmE,1820117,1820341,-,protein_coding,50S ribosomal protein L31,WP_003952447.1,structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; organellar large ribosomal subunit [GO:0000315]; cytosolic large ribosomal subunit [GO:0022625],B5GL66,Large ribosomal subunit protein bL31,SCLAV_4257 rpmE
chromosome,CRV15_RS07275,rho,1824097,1826115,-,protein_coding,transcription termination factor Rho,WP_003952450.1,"helicase activity [GO:0004386]; ATP-dependent activity, acting on RNA [GO:0008186]; DNA-templated transcription termination [GO:0006353]",B5GL69,Transcription termination factor Rho (EC 3.6.4.-) (ATP-dependent helicase Rho),SCLAV_4254 rho
chromosome,CRV15_RS07285,thrC,1828075,1829145,-,protein_coding,threonine synthase,WP_003952452.1,threonine synthase activity [GO:0004795]; threonine biosynthetic process [GO:0009088],B5GL71,Threonine synthase (EC 4.2.3.1),SCLAV_4251
chromosome,CRV15_RS07290,,1829152,1830450,-,protein_coding,homoserine dehydrogenase,WP_003952453.1,homoserine dehydrogenase activity [GO:0004412]; amino acid metabolic process [GO:0006520],,,
chromosome,CRV15_RS07295,lysA,1830550,1831941,-,protein_coding,diaminopimelate decarboxylase,WP_003952454.1,diaminopimelate decarboxylase activity [GO:0008836]; lysine biosynthetic process via diaminopimelate [GO:0009089],B5GL73,Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20),SCLAV_4249 lysA
chromosome,CRV15_RS07300,nrtL,1831952,1832959,-,protein_coding,ArgS-related anticodon-binding protein NrtL,WP_003952455.1,,B5GL74,arginine--tRNA ligase (EC 6.1.1.19),SCLAV_4248 argS
chromosome,CRV15_RS07305,,1833015,1833512,-,protein_coding,response regulator,WP_003952456.1,phosphorelay signal transduction system [GO:0000160],,,
chromosome,CRV15_RS07325,,1836016,1837491,-,protein_coding,hypothetical protein,WP_003952459.1,,B5GL78,ATP-binding protein,SCLAV_4243
chromosome,CRV15_RS07335,,1838431,1839177,-,protein_coding,hypothetical protein,WP_003952461.1,,B5GL80,PPM-type phosphatase domain-containing protein,SCLAV_4241
chromosome,CRV15_RS07340,,1839174,1839695,-,protein_coding,hypothetical protein,WP_003952462.1,,B5GL81,Secreted protein,SCLAV_4240
chromosome,CRV15_RS07345,,1839689,1839946,-,protein_coding,hypothetical protein,WP_003952463.1,,B5GL82,Uncharacterized protein,SCLAV_4239
chromosome,CRV15_RS07350,,1839959,1840258,-,protein_coding,hypothetical protein,WP_003952464.1,,B5GL83,Uncharacterized protein,SCLAV_4238
chromosome,CRV15_RS07355,,1840274,1840780,-,protein_coding,hypothetical protein,WP_003952465.1,,B5GL84,Integral membrane protein,SCLAV_4237
chromosome,CRV15_RS07370,,1843550,1843786,-,protein_coding,hypothetical protein,WP_003952468.1,,B5GL87,Uncharacterized protein,SCLAV_4234
chromosome,CRV15_RS07385,,1845219,1845488,-,protein_coding,DUF6303 family protein,WP_003952472.1,,B5GL91,Uncharacterized protein,SCLAV_4230
chromosome,CRV15_RS07410,,1847582,1848430,+,protein_coding,GntR family transcriptional regulator,WP_003952477.1,DNA-binding transcription factor activity [GO:0003700]; regulation of DNA-templated transcription [GO:0006355],B5GL96,"Transcriptional regulator, GntR family",SCLAV_4225
chromosome,CRV15_RS07415,,1848435,1849130,+,protein_coding,HAD-IA family hydrolase,WP_003952478.1,hydrolase activity [GO:0016787]; metabolic process [GO:0008152],B5GL97,HAD-superfamily hydrolase,SCLAV_4224
chromosome,CRV15_RS07420,,1850314,1850580,+,protein_coding,hypothetical protein,WP_003952481.1,,B5GLA0,CopG family transcriptional regulator,SCLAV_4222
chromosome,CRV15_RS07425,,1850577,1850990,+,protein_coding,PIN domain-containing protein,WP_003952482.1,,B5GLA1,DNA-binding protein,SCLAV_4221
chromosome,CRV15_RS07430,,1851533,1853200,-,protein_coding,hypothetical protein,WP_003952484.1,,,,
chromosome,CRV15_RS07440,,1859894,1860688,+,protein_coding,hypothetical protein,WP_003952486.1,,B5GLA5,SclU-like protein,SCLAV_4217
chromosome,CRV15_RS07445,bla,1860925,1861923,+,protein_coding,class A beta-lactamase,WP_003952487.1,beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655]; response to antibiotic [GO:0046677],,,
chromosome,CRV15_RS07450,,1861960,1864041,-,protein_coding,serine hydrolase,WP_003952489.1,beta-lactamase activity [GO:0008800]; beta-lactam antibiotic catabolic process [GO:0030655],,,
chromosome,CRV15_RS07455,,1864395,1865864,-,protein_coding,MFS transporter,WP_003952491.1,,O85724,Efflux protein CmcT,cmcT
chromosome,CRV15_RS07460,,1866294,1867832,-,protein_coding,aldehyde dehydrogenase family protein,WP_003952492.1,oxidoreductase activity [GO:0016491],B5GLA9,aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3),SCLAV_4212 pcd
chromosome,CRV15_RS07465,,1867848,1868783,-,protein_coding,2OG-Fe(II) oxygenase family protein,WP_003952493.1,oxidoreductase activity [GO:0016491],B5GLB0,Deacetoxycephalosporin C synthetase (EC 1.14.20.1),SCLAV_4211 cefE
chromosome,CRV15_RS07470,,1868862,1870058,-,protein_coding,aminotransferase class V-fold PLP-dependent enzyme,WP_003952494.1,,P18549 B5GLB1,Isopenicillin N epimerase (EC 5.1.1.17),SCLAV_4210 cefD
chromosome,CRV15_RS07475,,1870833,1871543,+,protein_coding,CmcI family methyltransferase,WP_003952496.1,methyltransferase activity [GO:0008168]; lipid biosynthetic process [GO:0008610],B5GLB3,Cephalosporin hydroxylase CmcI,SCLAV_4208 cmcI
chromosome,CRV15_RS07480,,1871592,1872524,+,protein_coding,CmcJ/NvfI family oxidoreductase,WP_003952497.1,,B5GLB4,Methyltransferase CmcJ,SCLAV_4207 cmcJ
chromosome,CRV15_RS07485,,1872621,1873577,+,protein_coding,2OG-Fe(II) oxygenase family protein,WP_003952498.1,oxidoreductase activity [GO:0016491],B5GLB5,Deacetoxycephalosporin C hydroxylase (EC 1.14.11.26),SCLAV_4206 cefF
chromosome,CRV15_RS07490,cmcH,1873653,1875218,+,protein_coding,3'-hydroxymethylcephem-O-carbamoyltransferase,WP_003952499.1,,O85728 B5GLB6,3'-hydroxymethylcephem-O-carbamoyltransferase (3'-hydroxymethylcephem-O-CASE) (CCT) (EC 2.1.3.-),SCLAV_4205 cmcH
chromosome,CRV15_RS07495,,1876134,1876922,+,protein_coding,BTAD domain-containing putative transcriptional regulator,WP_003952500.1,,B5GLB7,Positive regulator,SCLAV_4204 ccaR
chromosome,CRV15_RS07500,,1877245,1878261,+,protein_coding,MBL fold metallo-hydrolase,WP_003952502.1,,B5GLB9,ORF12 protein (Secreted protein),ORF12 SCLAV_4203
chromosome,CRV15_RS07505,,1878608,1879156,+,protein_coding,biotin transporter BioY,WP_003952503.1,,B5GLC0,Beta-Lactamase Inhibitory Protein-Like Protein (Blp),SCLAV_4202 blp
chromosome,CRV15_RS07510,lat,1879762,1881135,+,protein_coding,L-lysine 6-transaminase,WP_003952504.1,pyridoxal phosphate binding [GO:0030170]; L-lysine 6-transaminase activity [GO:0045484]; antibiotic biosynthetic process [GO:0017000],Q01767 B5GLC1,L-lysine-epsilon aminotransferase (L-lysine aminotransferase) (EC 2.6.1.36) (Lysine 6-aminotransferase),SCLAV_4201 lat
chromosome,CRV15_RS07520,,1892665,1893654,+,protein_coding,2OG-Fe(II) oxygenase family protein,WP_003952506.1,oxidoreductase activity [GO:0016491],P10621,Isopenicillin N synthase (IPNS) (EC 1.21.3.1),pcbC
chromosome,CRV15_RS07525,,1893763,1895418,-,protein_coding,penicillin-binding transpeptidase domain-containing protein,WP_003952508.1,penicillin binding [GO:0008658],B5GLC4,PcbR (Secreted penicillin binding protein),SCLAV_4198 pcbR
chromosome,CRV15_RS07530,,1895911,1897632,+,protein_coding,thiamine pyrophosphate-binding protein,WP_003952509.1,,Q9LCV9,N(2)-(2-carboxyethyl)arginine synthase (CEA synthetase) (CEAS) (EC 2.5.1.66),ceaS
chromosome,CRV15_RS07535,,1897635,1899176,+,protein_coding,asparagine synthase-related protein,WP_003952510.1,asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; asparagine biosynthetic process [GO:0006529],P0DJQ7 B5GLC7,Carboxyethyl-arginine beta-lactam-synthase (EC 6.3.3.4) (Beta-lactam synthetase),SCLAV_4196 bls bls2
chromosome,CRV15_RS07540,speB,1899349,1900290,+,protein_coding,agmatinase,WP_003952511.1,agmatinase activity [GO:0008783]; spermidine biosynthetic process [GO:0008295],P0DJQ3 B5GLC8,Proclavaminate amidinohydrolase (EC 3.5.3.22) (Proclavaminic acid amidino hydrolase),SCLAV_4195 pah pah2
chromosome,CRV15_RS07550,argJ,1901590,1902771,+,protein_coding,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,WP_003952513.1,glutamate N-acetyltransferase activity [GO:0004358]; arginine biosynthetic process [GO:0006526],P0DJQ5 P0DJQ6,Glutamate N-acetyltransferase 2 (EC 2.3.1.35) (Ornithine acetyltransferase 2) (Ornithine transacetylase 2) (OATase 2) [Cleaved into: Glutamate N-acetyltransferase 2 alpha chain; Glutamate N-acetyltransferase 2 beta chain],argJ3 dclD oat2
chromosome,CRV15_RS07555,,1902936,1904603,+,protein_coding,ABC transporter substrate-binding protein,WP_003952514.1,,Q9LCV8,Orf7,
chromosome,CRV15_RS07565,,1906317,1907063,-,protein_coding,SDR family oxidoreductase,WP_003952516.1,,B5GLD3,Clavaldehyde dehydrogenase,SCLAV_4190 car
chromosome,CRV15_RS07570,,1907464,1908690,+,protein_coding,cytochrome P450,WP_003952517.1,,B5GLD4,Cytochrome P450-SU2 (Orf10),SCLAV_4189
chromosome,CRV15_RS07575,,1908696,1908902,+,protein_coding,ferredoxin,WP_003952518.1,"iron ion binding [GO:0005506]; electron transfer activity [GO:0009055]; 4 iron, 4 sulfur cluster binding [GO:0051539]",,,
chromosome,CRV15_RS07590,,1910509,1911531,+,protein_coding,EamA family transporter,WP_003952520.1,membrane [GO:0016020],Q8KRB6,Integral membrane protein DUF6 (Orf13),SCLAV_4186
chromosome,CRV15_RS07595,,1911483,1912502,-,protein_coding,GNAT family N-acetyltransferase,WP_003952521.1,"N-acetyltransferase activity [GO:0008080]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]",Q8KRB5,Acetyltransferase GNAT family protein (Orf14),SCLAV_4185
chromosome,CRV15_RS07605,,1914281,1915486,-,protein_coding,GNAT family N-acetyltransferase,WP_003952523.1,,B5GLE0,DUF482 domain-containing protein (Orf16),SCLAV_4182
chromosome,CRV15_RS07615,,1917069,1918553,-,protein_coding,penicillin-binding protein 2,WP_003952525.1,penicillin binding [GO:0008658]; peptidoglycan biosynthetic process [GO:0009252]; membrane [GO:0016020],Q8KRB1,Orf18 (Penicillin-binding protein PBP),SCLAV_4180 pbpA
chromosome,CRV15_RS07625,,1921509,1922690,+,protein_coding,cytochrome P450,WP_003952527.1,"monooxygenase activity [GO:0004497]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; heme binding [GO:0020037]",B2LX12,Putative cytochrome P450,
chromosome,CRV15_RS07630,,1923483,1924088,+,protein_coding,sigma-70 family RNA polymerase sigma factor,WP_003952528.1,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; sigma factor activity [GO:0016987]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355],B1PR38,RNA polymerase sigma factor,SCLAV_4177
